HostName,IPAddress,Models,Vendors
NGAHMDY-R02J-KN-EG,10.45.1.39,mx104,Juniper
NAGBRAD-R01J-KN-EG,10.45.1.37,mx104,Juniper
OBURCTY1-R02J-C-EG,10.45.1.31,mx104,Juniper
KAFRAMR-R01J-GZ-EG,10.45.1.38,mx104,Juniper
FRFRAH-R01J-WAD-EG,10.45.1.34,mx104,Juniper
TEBGDID-R01J-LX-EG,10.45.1.43,mx104,Juniper
MANSHA-R01J-SHG-EG,10.45.1.40,mx104,Juniper
DARSLM-R01J-SHG-EG,10.45.1.44,mx104,Juniper
DAKHLA-R04J-WAD-EG,10.45.1.42,M10i,Juniper
AKHTAB-R01J-DK-EG,10.45.1.50,mx104,Juniper
BNHAWST-R02J-KB-EG,10.45.1.47,mx104,Juniper
REQA-R01J-GIZ-EG,10.45.1.54,mx104,Juniper
FAYUM1-R05J-FYM-EG,10.45.1.55,mx104,Juniper
SADAT-R02J-MNF-EG,10.45.1.53,mx104,Juniper
SHBRKHT-R01J-BH-EG,10.45.1.56,mx104,Juniper
BANHA3-R02J-KB-EG,10.45.1.48,mx104,Juniper
SMBLWIN-R02J-DK-EG,10.45.1.57,mx104,Juniper
HLPLS-R05J-C-EG,10.45.1.6,mx104,Juniper
MRKZBDR-R01J-BH-EG,10.45.1.90,mx104,Juniper
SHZAYD2-R02J-GZ-EG,10.45.1.80,mx104,Juniper
AKHMIM-R01J-SHG-EG,10.45.1.89,mx104,Juniper
DKERNES-R02J-DK-EG,10.45.1.9,mx104,Juniper
RASGARB-R01J-BA-EG,10.45.1.91,mx104,Juniper
ALAQMA-R01J-SHR-EG,10.45.1.97,mx104,Juniper
TANTA2-R11C-GH-EG,10.45.1.85,ASR1000,Cisco
QALAA1-R03J-C-EG,10.45.1.7,mx104,Juniper
SHTNUF-R01J-MNF-EG,10.45.1.96,mx104,Juniper
6OCT2-R40J-GZ-EG,10.45.10.100,mx2020,Juniper
MAGOUL-R01J-KB-EG,10.45.1.92,mx104,Juniper
GHNAYM-R01J-AST-EG,10.45.1.98,mx104,Juniper
MTASSAS-R01J-GH-EG,10.45.1.95,mx104,Juniper
6OCT2-R41J-GZ-EG,10.45.10.101,mx2020,Juniper
BATAMDH-R01J-KB-EG,10.45.1.99,mx104,Juniper
TABIA-R01J-ALX-EG,10.45.10.106,mx104,Juniper
AUTO-R42J-ALX-EG,10.45.10.110,t4000,Juniper
TANTA2-R40J-GH-EG,10.45.10.20,mx2020,Juniper
6OCT2-R32J-GZ-EG,10.45.10.203,MX960,Juniper
NASR2-R30J-C-EG,10.45.10.201,MX960,Juniper
